songID,blockID,subBlockID,chordID,chordName,chordLengthInBeats
goodafterbad,b1,sb1,c1,EbMi,4
goodafterbad,b1,sb1,c2,BbMi,4
goodafterbad,b1,sb2,c1,Ab,4
goodafterbad,b1,sb2,c2,Db,4
goodafterbad,b1,sb3,c1,Gb,2
goodafterbad,b1,sb3,c2,Gb/F,2
goodafterbad,b1,sb3,c3,EbMi,4
goodafterbad,b1,sb4,c1,EbMi,2
goodafterbad,b1,sb4,c2,BbMi,2
goodafterbad,b1,sb4,c3,Ab,4
goodafterbad,b1,sb5,c1,Ab,4
goodafterbad,b1,sb5,c2,Db,4
goodafterbad,b1,sb5,c3,Gb,8
